Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786606927,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786606928,10,,Aggregated,0.000000,0.000000,88,500,510,510,510,520,520,520,520,520,520,22,9,84,273.5272580001203,32.522387000426534,523.7700830002723,130.8181818181818
1786606929,20,,Aggregated,0.000000,0.000000,84,270,270,500,510,510,520,520,520,520,520,49,18,84,207.20310593873253,25.003288001244073,523.7700830002723,252.48979591836735
1786606930,30,,Aggregated,0.000000,0.000000,80,130,260,270,510,510,520,1300,1300,1300,1300,83,29,80,165.73695140950036,25.003288001244073,1348.9662899992254,372.6265060240964
1786606931,40,,Aggregated,22.500000,9.000000,64,110,140,160,270,510,520,520,1300,1300,1300,123,39,64,135.98949749584568,21.894231000260334,1348.9662899992254,492.7642276422764
1786606932,50,,Aggregated,26.000000,9.666667,60,98,110,130,270,510,510,520,1300,1300,1300,168,49,60,117.53966343448631,21.894231000260334,1348.9662899992254,524.2142857142857
1786606933,60,,Aggregated,28.750000,9.750000,61,83,100,110,260,500,510,520,1300,1300,1300,226,59,60,103.44743446896358,11.787379000452347,1348.9662899992254,590.3716814159292
1786606934,70,,Aggregated,31.200000,9.800000,59,82,100,110,160,320,510,520,1300,1300,1300,275,69,59,94.9236378254136,11.787379000452347,1348.9662899992254,568.8072727272727
1786606935,80,,Aggregated,33.833333,9.833333,56,77,99,110,190,270,510,510,1300,1300,1300,326,79,56,90.73603184046681,11.787379000452347,1348.9662899992254,598.3496932515337
1786606936,90,,Aggregated,37.428571,9.857143,54,74,98,110,160,270,510,510,1300,1300,1300,395,89,54,86.10180879239792,11.787379000452347,1348.9662899992254,636.9873417721519
1786606937,100,,Aggregated,39.000000,9.875000,54,70,98,110,160,260,500,510,1300,1300,1300,458,99,54,83.47150696287656,11.787379000452347,1348.9662899992254,609.3973799126637
1786606938,100,,Aggregated,41.000000,9.888889,52,68,93,110,160,200,500,510,1300,1300,1300,509,99,52,80.30064456579923,11.787379000452347,1348.9662899992254,645.4106090373281
1786606939,100,,Aggregated,43.400000,9.900000,49,65,88,100,150,200,500,510,1300,1300,1300,549,99,49,76.90481795809471,11.465683999631437,1348.9662899992254,647.3624772313296
1786606940,100,,Aggregated,48.200000,9.900000,46,62,83,100,150,190,500,510,1300,1300,1300,592,99,46,73.68923724492548,10.683728000003612,1348.9662899992254,675.9594594594595
1786606941,100,,Aggregated,48.200000,8.100000,45,62,83,99,150,190,330,510,1300,1300,1300,649,99,45,71.75626322648795,9.717070999613497,1348.9662899992254,699.3805855161787
1786606942,100,,Aggregated,48.900000,7.000000,43,60,79,97,140,180,320,510,1300,1300,1300,696,99,43,68.80778093245524,9.717070999613497,1348.9662899992254,710.0632183908046
1786606943,100,,Aggregated,50.000000,6.000000,42,59,76,93,130,180,270,510,1300,1300,1300,740,99,42,67.29752424997403,9.717070999613497,1348.9662899992254,731.3594594594595
1786606944,100,,Aggregated,51.200000,5.000000,40,58,73,89,130,170,270,510,1300,1300,1300,789,99,40,65.11374812925871,9.60681699871202,1348.9662899992254,748.3548795944233
1786606945,100,,Aggregated,52.000000,4.000000,39,57,71,88,130,180,270,510,1300,1300,1300,843,99,39,63.98068733095027,9.60681699871202,1348.9662899992254,772.0972716488731
1786606946,100,,Aggregated,50.500000,3.000000,38,54,67,83,130,170,270,510,1300,1300,1300,896,99,38,61.175168756684734,8.777353999903426,1348.9662899992254,781.3973214285714
1786606947,100,,Aggregated,49.800000,2.000000,36,52,65,80,120,170,270,500,1300,1300,1300,938,99,36,59.25419326224252,8.498438999595237,1348.9662899992254,780.0127931769723
1786606948,100,,Aggregated,50.100000,1.000000,35,50,63,76,120,160,270,500,1300,1300,1300,983,99,35,57.83807017190361,8.498438999595237,1348.9662899992254,787.5768056968463
1786606949,100,,Aggregated,48.400000,0.000000,33,49,61,73,120,160,270,500,520,1300,1300,1030,99,33,55.828587940759995,8.14994500069588,1348.9662899992254,784.2640776699029
1786606950,100,,Aggregated,47.500000,0.000000,33,49,61,74,120,160,260,500,520,1300,1300,1091,99,33,55.300713558183396,8.14994500069588,1348.9662899992254,775.4830430797433
1786606951,100,,Aggregated,47.500000,0.000000,33,49,62,75,120,160,270,500,520,1300,1300,1121,99,33,55.94923186527418,8.14994500069588,1348.9662899992254,780.8331846565567
1786606952,100,,Aggregated,49.100000,0.000000,35,52,67,83,150,220,330,500,520,1300,1300,1166,99,35,63.23512388934312,8.14994500069588,1348.9662899992254,789.0943396226415
1786606953,100,,Aggregated,49.000000,0.000000,35,54,70,88,150,260,370,500,710,1300,1300,1178,99,35,66.63757939811268,8.14994500069588,1348.9662899992254,788.6621392190153
1786606954,100,,Aggregated,47.600000,0.000000,37,58,82,110,220,510,1200,1400,1600,1600,1600,1231,99,37,112.57855564011125,8.14994500069588,1578.0874819993187,789.2737611697806
1786606955,100,,Aggregated,45.400000,0.000000,37,59,84,110,270,590,1100,1400,1600,1600,1600,1288,99,37,116.89081625774311,8.14994500069588,1578.0874819993187,799.52950310559
1786606956,100,,Aggregated,41.600000,0.000000,35,58,81,110,260,540,1100,1400,1600,1600,1600,1333,99,35,113.48440945084357,8.14994500069588,1578.0874819993187,804.4486121530383
