Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786600371,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786600372,50,,Aggregated,0.000000,0.000000,54,65,70,93,150,210,230,240,240,240,240,174,0,53,67.0070313793379,2.657130999978108,243.15212799956498,624.5344827586207
1786600373,100,,Aggregated,0.000000,0.000000,55,71,93,100,140,220,260,270,290,290,290,395,0,55,70.10984773671824,2.480443000422383,290.27083900018624,666.8
1786600374,150,,Aggregated,152.000000,0.000000,55,70,84,98,130,210,250,270,290,290,290,665,0,55,65.60771793235078,2.480443000422383,290.27083900018624,686.0721804511278
1786600375,200,,Aggregated,176.500000,0.000000,55,72,87,96,130,210,260,290,330,330,330,1001,0,55,65.40050392509778,2.480443000422383,331.87313500002347,730.4375624375624
1786600376,250,,Aggregated,203.333333,0.000000,60,81,100,110,150,210,280,330,430,430,430,1379,0,60,72.1719048520895,2.480443000422383,429.3787690003228,774.7527193618564
1786600377,300,,Aggregated,228.750000,0.000000,67,92,110,120,160,210,280,330,430,430,430,1798,0,67,79.4494511874507,2.2355620003509102,429.3787690003228,765.2035595105673
1786600378,350,,Aggregated,257.200000,0.000000,74,100,120,130,170,210,310,370,500,530,530,2245,0,74,85.65876916838693,2.2355620003509102,528.2382879995566,798.404008908686
1786600379,400,,Aggregated,274.666667,0.000000,88,120,150,170,240,300,360,460,850,870,870,2625,0,88,109.5279397196316,2.2355620003509102,874.2303380004159,808.0700952380953
1786600380,450,,Aggregated,298.000000,0.000000,110,150,180,200,260,310,440,530,800,870,870,3128,0,110,126.6444577126093,2.2355620003509102,874.2303380004159,830.1141304347826
1786600381,500,,Aggregated,305.625000,0.000000,120,170,200,230,280,340,460,620,890,960,960,3584,0,120,143.70050443360708,2.2355620003509102,958.8121380002121,860.5114397321429
1786600382,500,,Aggregated,328.333333,0.000000,140,190,230,250,320,400,580,740,1300,1400,1400,3984,0,140,165.12261170132086,2.2355620003509102,1407.2564429998238,897.5986445783133
1786600383,500,,Aggregated,340.500000,0.000000,150,210,250,270,360,550,810,930,1300,1400,1400,4405,0,150,190.0227425053469,2.2355620003509102,1407.2564429998238,918.9811577752554
1786600384,500,,Aggregated,370.000000,0.000000,160,220,250,290,410,620,810,920,1300,1400,1400,4753,0,160,201.05669436230974,2.2355620003509102,1407.2564429998238,940.8445192509994
1786600385,500,,Aggregated,390.200000,0.000000,170,230,270,310,480,690,930,1000,1300,1400,1400,5087,0,170,221.16279101907867,2.2355620003509102,1407.2564429998238,963.8319245134657
1786600386,500,,Aggregated,403.400000,0.000000,180,250,290,330,560,850,1100,1200,1400,1600,1600,5460,0,180,247.5594252963454,2.2355620003509102,1570.208024000749,979.3047619047619
1786600387,500,,Aggregated,403.900000,0.000000,190,260,310,350,610,910,1100,1200,1400,1600,1600,5797,0,190,261.67828393635637,2.2355620003509102,1570.208024000749,1005.1286872520269
1786600388,500,,Aggregated,402.300000,0.000000,200,270,320,380,670,970,1100,1200,1400,1600,1600,6156,0,200,277.85432013337646,2.2355620003509102,1570.208024000749,1016.8523391812865
1786600389,500,,Aggregated,402.900000,0.000000,210,270,330,410,760,980,1100,1200,1400,1600,1600,6520,0,210,290.72995964249344,2.2355620003509102,1570.208024000749,1034.8831288343558
1786600390,500,,Aggregated,392.300000,0.000000,220,280,350,430,800,990,1100,1200,1400,1600,1600,6865,0,220,300.4590833194535,2.2355620003509102,1570.208024000749,1061.1296431172614
1786600391,500,,Aggregated,394.400000,0.000000,220,290,370,460,830,1000,1100,1200,1400,1600,1600,7221,0,220,311.6506309544434,2.2355620003509102,1570.208024000749,1084.892951114804
1786600392,500,,Aggregated,379.700000,0.000000,230,290,380,480,860,1000,1100,1200,1400,1600,1600,7611,0,230,320.90163970214576,2.2355620003509102,1570.208024000749,1100.5398764945473
1786600393,500,,Aggregated,369.100000,0.000000,230,300,400,490,860,1000,1100,1200,1400,1600,1600,7968,0,230,326.4603824637327,2.2355620003509102,1570.208024000749,1123.6823544176707
