Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786600025,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786600026,50,,Aggregated,0.000000,0.000000,4,30,36,44,79,90,93,94,95,95,95,158,116,4,23.683487531613963,2.0161980000921176,95.41198199985956,499.06962025316454
1786600027,100,,Aggregated,0.000000,0.000000,4,13,32,37,78,94,120,130,130,130,130,424,330,4,22.74068254242799,1.6381779996663681,133.53542599998036,551.5919811320755
1786600028,150,,Aggregated,82.000000,51.000000,4,8,25,34,72,95,130,130,130,130,130,793,622,4,20.46764209581344,1.392043999658199,134.7226829993815,508.9659520807062
1786600029,200,,Aggregated,136.000000,98.000000,4,7,17,32,61,89,110,130,130,130,130,1286,1017,4,17.73096698521164,1.392043999658199,134.7226829993815,429.1073094867807
1786600030,250,,Aggregated,190.000000,144.666667,5,8,18,31,60,85,110,130,160,170,170,1857,1495,5,17.956334192781902,1.3021029999435996,166.08798800007207,384.785675821217
1786600031,300,,Aggregated,247.250000,192.750000,5,10,22,34,59,79,110,130,190,210,210,2534,2038,5,18.910919965667365,1.3021029999435996,205.27726999989682,382.98382004735595
1786600032,350,,Aggregated,297.600000,234.800000,7,15,35,42,73,130,190,240,290,300,300,3261,2624,7,27.862897026984033,1.3021029999435996,300.58025600010296,374.195645507513
1786600033,400,,Aggregated,349.666667,279.000000,9,22,35,41,68,120,190,210,290,300,300,4151,3338,9,27.328681295589554,1.3021029999435996,300.58025600010296,373.2777643941219
1786600034,450,,Aggregated,401.857143,321.714286,11,28,41,52,92,130,190,220,320,400,400,5081,4088,11,32.2273045250944,1.3021029999435996,401.2830780002332,370.52076362920684
1786600035,500,,Aggregated,446.625000,357.125000,15,37,51,62,92,130,180,230,360,400,400,6052,4874,15,35.90637798033881,1.3021029999435996,401.2830780002332,364.39606741573033
1786600036,500,,Aggregated,488.555556,392.111111,20,33,45,55,84,120,170,210,350,400,400,7089,5729,20,34.385003158982286,1.3021029999435996,401.2830780002332,361.5814642403724
1786600037,500,,Aggregated,538.000000,432.900000,18,29,40,48,77,110,170,210,340,400,400,8159,6631,18,31.87268717441044,1.3021029999435996,401.2830780002332,355.86493442823877
1786600038,500,,Aggregated,629.500000,508.700000,18,27,36,43,73,110,160,190,340,400,400,9190,7507,18,30.373832327314418,1.3021029999435996,401.2830780002332,353.71381936887923
1786600039,500,,Aggregated,714.700000,581.300000,18,28,36,43,70,99,150,190,340,390,400,10234,8378,18,29.732674577292478,1.3021029999435996,401.2830780002332,352.01954270080125
1786600040,500,,Aggregated,791.900000,647.300000,19,27,36,43,73,110,150,190,330,390,400,11296,9269,19,30.530618573124702,1.3021029999435996,401.2830780002332,348.27168909348444
1786600041,500,,Aggregated,854.400000,701.700000,18,27,35,42,70,110,140,180,320,390,400,12372,10167,18,29.461249098853028,1.2657679999392712,401.2830780002332,347.26204332363403
1786600042,500,,Aggregated,903.900000,744.800000,17,26,34,41,66,100,140,180,320,390,400,13442,11063,17,28.294815741707744,1.0147149996555527,401.2830780002332,344.1791400089272
1786600043,500,,Aggregated,948.000000,782.400000,16,25,32,39,63,96,130,170,320,390,400,14541,11972,16,27.341259593565532,1.0147149996555527,401.2830780002332,344.0648511106526
1786600044,500,,Aggregated,985.400000,815.600000,16,25,31,38,60,93,130,170,320,390,400,15616,12866,16,26.879699230726978,1.0147149996555527,401.2830780002332,339.63274846311475
1786600045,500,,Aggregated,1019.000000,847.200000,18,26,33,39,61,90,130,170,310,390,400,16585,13677,18,27.380752111849898,1.0147149996555527,401.2830780002332,338.963581549593
1786600046,500,,Aggregated,1043.700000,868.500000,18,27,33,40,60,87,130,160,300,390,400,17593,14509,18,27.582729652362836,1.0147149996555527,401.2830780002332,338.34701301654064
1786600047,500,,Aggregated,1050.000000,875.500000,18,27,33,40,59,85,120,160,300,390,400,18702,15422,18,27.324824710941336,1.0147149996555527,401.2830780002332,340.6331408405518
1786600048,500,,Aggregated,1048.700000,876.700000,18,27,34,40,59,83,120,160,300,390,400,19691,16259,18,27.41024779117527,1.0147149996555527,401.2830780002332,337.8124523894165
1786600049,500,,Aggregated,1046.900000,873.600000,19,27,34,40,58,81,120,150,290,390,400,20756,17137,19,27.430903370496647,1.0147149996555527,401.2830780002332,338.32742339564464
1786600050,500,,Aggregated,1041.100000,868.600000,18,27,33,39,56,79,120,150,290,390,400,21857,18058,18,26.749098616463886,1.0147149996555527,401.2830780002332,335.4991078373061
1786600051,500,,Aggregated,1042.300000,868.600000,18,26,32,38,54,77,120,150,280,390,400,22962,18983,18,26.093514067984547,1.0147149996555527,401.2830780002332,335.75376709345875
1786600052,500,,Aggregated,1050.900000,874.400000,18,26,33,38,54,76,120,140,280,390,400,24009,19858,18,26.258274184599852,1.0147149996555527,401.2830780002332,334.6525469615561
1786600053,500,,Aggregated,1055.500000,880.000000,18,26,32,38,54,74,110,140,280,390,400,25046,20734,18,26.12131597277223,1.0147149996555527,401.2830780002332,333.58216880939074
1786600054,500,,Aggregated,1051.700000,876.600000,17,25,32,37,53,73,110,140,280,390,400,26152,21652,17,25.60879877826038,1.0147149996555527,401.2830780002332,333.29496788008566
1786600055,500,,Aggregated,1049.500000,873.700000,17,25,31,36,51,72,110,130,280,390,400,27221,22541,17,25.102463199738228,1.0147149996555527,401.2830780002332,333.5066309099592
1786600056,500,,Aggregated,1049.500000,874.200000,16,24,30,35,50,71,110,130,280,390,400,28287,23443,16,24.629453807828813,1.0147149996555527,401.2830780002332,333.0929755718174
1786600057,500,,Aggregated,1050.800000,876.000000,16,24,30,34,49,70,110,130,280,390,400,29401,24386,16,24.163460451891666,1.0147149996555527,401.2830780002332,330.66324274684536
